year,crops,irr,nat_yield,scenario,region_code,irr_label
55,sugarbeets,1,62.469140656582994,control,Control,Irrigated
55,wheat_durum,2,2.4595787428977354,control,Control,Dry
55,wheat_spring,1,4.476769239532588,control,Control,Irrigated
55,wheat_spring,2,3.579958606806383,control,Control,Dry
55,wheat_winter,1,3.4351578668611875,control,Control,Irrigated
55,wheat_winter,2,3.147898287301057,control,Control,Dry
56,barley_spring,1,6.597076389440384,control,Control,Irrigated
56,barley_spring,2,3.182219549099388,control,Control,Dry
56,corn_grain,1,7.705522427691018,control,Control,Irrigated
56,corn_grain,2,7.504090721407522,control,Control,Dry
56,corn_silage,1,30.160528879634857,control,Control,Irrigated
56,corn_silage,2,22.885479649959834,control,Control,Dry
56,cotton_upland,1,0.8833866385572718,control,Control,Irrigated
56,cotton_upland,2,0.9870034340008484,control,Control,Dry
56,hay_alfalfa,1,10.37094651810692,control,Control,Irrigated
56,hay_alfalfa,2,4.386174758092051,control,Control,Dry
56,hay_non_alfalfa,1,5.256961818748416,control,Control,Irrigated
56,hay_non_alfalfa,2,4.4361188367141935,control,Control,Dry
56,oats_fall,2,1.1465355715476901,control,Control,Dry
56,oats_spring,1,3.444922720747666,control,Control,Irrigated
56,oats_spring,2,2.156584303039068,control,Control,Dry
56,potatoes_fall,1,49.85928871328949,control,Control,Irrigated
56,potatoes_summer,2,25.72697191036939,control,Control,Dry
56,rice,1,6.517220387228908,control,Control,Irrigated
56,soybeans,1,2.6614787360490184,control,Control,Irrigated
56,soybeans,2,2.162659544714441,control,Control,Dry
56,sugarbeets,1,62.2592741999031,control,Control,Irrigated
56,wheat_durum,2,2.441552766884096,control,Control,Dry
56,wheat_spring,1,4.4732870749821405,control,Control,Irrigated
56,wheat_spring,2,3.566307126046892,control,Control,Dry
56,wheat_winter,1,3.353119683059757,control,Control,Irrigated
56,wheat_winter,2,2.797336026413328,control,Control,Dry
57,barley_spring,1,6.596719334067906,control,Control,Irrigated
57,barley_spring,2,3.180879871723545,control,Control,Dry
57,corn_grain,1,7.68494233201932,control,Control,Irrigated
57,corn_grain,2,7.473691578596225,control,Control,Dry
57,corn_silage,1,29.758901441961367,control,Control,Irrigated
57,corn_silage,2,22.63922085138966,control,Control,Dry
57,cotton_upland,1,0.8657671698686584,control,Control,Irrigated
57,cotton_upland,2,0.9906814983576628,control,Control,Dry
57,hay_alfalfa,1,10.36124230419316,control,Control,Irrigated
57,hay_alfalfa,2,4.375415926447803,control,Control,Dry
57,hay_non_alfalfa,1,5.254306466537849,control,Control,Irrigated
57,hay_non_alfalfa,2,4.469601716667079,control,Control,Dry
57,oats_fall,2,1.3003279722572503,control,Control,Dry
57,oats_spring,1,3.4361912257713305,control,Control,Irrigated
57,oats_spring,2,2.160075910413958,control,Control,Dry
57,potatoes_fall,1,49.94272831954665,control,Control,Irrigated
57,potatoes_summer,2,25.257882469544544,control,Control,Dry
57,rice,1,6.466083609314405,control,Control,Irrigated
57,soybeans,1,2.656891274359036,control,Control,Irrigated
57,soybeans,2,2.163817945581787,control,Control,Dry
57,sugarbeets,1,61.21197940439018,control,Control,Irrigated
57,wheat_durum,2,2.4177419462434755,control,Control,Dry
57,wheat_spring,1,4.429503789457049,control,Control,Irrigated
57,wheat_spring,2,3.5652441162267223,control,Control,Dry
57,wheat_winter,1,3.441641120790102,control,Control,Irrigated
57,wheat_winter,2,2.9290044985196024,control,Control,Dry
58,barley_spring,1,6.598107428829171,control,Control,Irrigated
58,barley_spring,2,3.1838247576862617,control,Control,Dry
58,corn_grain,1,7.7025574457953585,control,Control,Irrigated
58,corn_grain,2,7.459431159956898,control,Control,Dry
58,corn_silage,1,30.01029915788406,control,Control,Irrigated
58,corn_silage,2,22.65200293860594,control,Control,Dry
58,cotton_upland,1,0.877507244577406,control,Control,Irrigated
58,cotton_upland,2,0.981277047320935,control,Control,Dry
58,hay_alfalfa,1,10.367683451525778,control,Control,Irrigated
58,hay_alfalfa,2,4.343276725341557,control,Control,Dry
58,hay_non_alfalfa,1,5.255927303739777,control,Control,Irrigated
58,hay_non_alfalfa,2,4.427926310500331,control,Control,Dry
58,oats_fall,2,1.211752404159183,control,Control,Dry
58,oats_spring,1,3.4437389646339867,control,Control,Irrigated
58,oats_spring,2,2.1823667203737354,control,Control,Dry
